#,Date,  Temperature  C,  Humidity  %RH,  Wind speed  km/h,  Wind direction  degree,  Dew point  C,  Rainfall  Inch,  Solar radiation  w/m2
1,28-01-2020 15:46,18,56,14,000,009,000.04,0016
2,28-01-2020 15:16,18,55,07,000,009,000.04,0051
3,28-01-2020 14:46,18,56,20,000,010,000.04,0119
4,28-01-2020 14:16,18,57,31,000,010,000.04,0269
5,28-01-2020 13:46,18,58,18,000,010,000.04,0237
6,28-01-2020 13:16,17,65,11,000,010,000.04,0102
7,28-01-2020 12:46,16,69,10,000,010,000.04,0080
8,28-01-2020 12:16,15,71,11,000,010,000.04,0033
9,28-01-2020 11:46,15,72,21,000,010,000.04,0020
10,28-01-2020 11:16,16,69,15,000,010,000.04,0000
11,28-01-2020 10:46,18,60,16,000,010,000.03,0029
12,28-01-2020 10:16,16,70,10,000,011,000.03,0537
13,28-01-2020 09:46,14,77,06,000,010,000.03,0090
14,28-01-2020 09:16,13,80,15,000,010,000.03,0027
15,28-01-2020 08:46,13,81,06,000,010,000.03,0003
16,28-01-2020 08:16,13,80,06,000,010,000.02,0000
17,28-01-2020 07:46,13,79,05,000,010,000.02,0000
18,28-01-2020 07:16,13,78,03,000,009,000.02,0000
19,28-01-2020 06:46,13,75,08,000,009,000.02,0000
20,28-01-2020 06:16,14,71,10,000,009,000.01,0000
21,28-01-2020 05:46,14,73,08,000,009,000.01,0000
22,28-01-2020 05:16,14,71,11,000,009,000.01,0000
23,28-01-2020 04:46,14,71,06,000,009,000.01,0000
24,28-01-2020 04:16,14,73,20,000,009,000.01,0000
25,28-01-2020 03:46,14,75,13,000,010,000.01,0000
26,28-01-2020 03:16,13,77,17,000,010,000.01,0000
27,28-01-2020 02:46,13,76,10,000,009,000.01,0000
28,28-01-2020 02:16,14,73,11,000,009,000.01,0000
29,28-01-2020 01:46,14,78,12,000,010,000.01,0000
30,28-01-2020 01:16,13,80,06,000,010,000.00,0000
31,28-01-2020 00:46,14,80,04,000,011,000.00,0000
32,28-01-2020 00:17,14,80,01,000,011,000.00,0000
33,27-01-2020 23:47,14,80,04,000,011,000.00,0000
34,27-01-2020 23:17,14,80,00,000,011,000.00,0000
35,27-01-2020 22:47,14,79,01,000,011,000.00,0000
36,27-01-2020 22:17,14,78,00,000,010,000.00,0000
37,27-01-2020 21:46,14,79,02,000,011,000.00,0000
38,27-01-2020 21:46,14,79,02,000,011,000.00,0000
39,27-01-2020 21:17,14,81,06,000,011,000.00,0000
40,27-01-2020 20:47,15,81,04,000,012,000.00,0000
41,27-01-2020 20:17,15,81,07,000,012,000.00,0000
42,27-01-2020 19:47,15,80,06,000,012,000.00,0000
43,27-01-2020 19:17,15,80,08,000,012,000.00,0000
44,27-01-2020 18:47,15,79,02,000,012,000.00,0000
45,27-01-2020 18:17,15,78,02,000,011,000.00,0000
46,27-01-2020 17:47,15,78,05,000,011,000.00,0000
47,27-01-2020 17:17,15,78,02,000,012,000.00,0000
48,27-01-2020 16:47,16,75,08,000,012,000.00,0000
49,27-01-2020 16:17,17,67,05,000,011,000.00,0008
50,27-01-2020 15:47,18,60,01,000,010,000.00,0017
51,27-01-2020 15:17,18,57,02,000,010,000.00,0072
52,27-01-2020 14:47,18,56,04,000,009,000.00,0077
53,27-01-2020 14:17,18,58,06,000,010,000.00,0079
54,27-01-2020 13:47,18,62,09,000,010,000.00,0136
55,27-01-2020 13:17,18,64,03,000,011,000.00,0145
56,27-01-2020 12:47,17,65,04,000,010,000.00,0137
57,27-01-2020 12:17,17,59,06,000,009,000.00,0111
58,27-01-2020 11:47,18,58,04,000,010,000.00,0218
